index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,page_count,reviews,awards_and_recognition,format
550,2012.0,winter of the world,ken follett,eng,,4.29,71971,nonfiction,1488.51,893.106,9.99,616,harpercollins publishing,4023,,,,
552,1999.0,lucky,alice sebold,eng,,3.77,77462,children,1427.42,856.452,9.58,617,"amazon digital services,  inc.",4023,,,,
553,1927.0,to the lighthouse,virginia woolf,eng,,3.76,83066,genre fiction,1144.04,686.424,7.73,619,macmillan,3996,,,,
554,2004.0,five point someone: what not to do at iit,chetan bhagat,en-gb,,3.43,67438,genre fiction,146.52,0.0,0.99,620,"amazon digital services,  inc.",3996,,,,
555,1993.0,guilty pleasures,laurell k. hamilton,eng,,4.02,104252,genre fiction,442.52,0.0,2.99,622,"amazon digital services,  inc.",3996,,,,
556,2002.0,the messenger,markus zusak,en-us,,4.09,93119,genre fiction,145.53,87.318,0.99,624,"amazon digital services,  inc.",3969,,,,
557,1874.0,far from the madding crowd,"thomas hardy, rosemarie morgan, shannon russell",eng,,3.92,87427,genre fiction,1997.73,1198.638,13.59,624,harpercollins publishers,3969,,,,
558,1987.0,equal rites,terry pratchett,eng,,4.0,88673,genre fiction,145.53,0.0,0.99,625,"amazon digital services,  inc.",3969,,,,
559,2000.0,house of leaves,mark z. danielewski,eng,,4.13,75469,genre fiction,439.53,0.0,2.99,625,"amazon digital services,  inc.",3969,,,,
560,1993.0,cruel & unusual,patricia cornwell,nl,,4.11,83695,genre fiction,439.53,263.718,2.99,626,"amazon digital services,  inc.",3969,,,,
561,2013.0,sycamore row,john grisham,eng,,3.98,56315,genre fiction,1074.57,644.742,7.31,627,penguin group (usa) llc,3969,,,,
562,2011.0,awakened,"p.c. cast, kristin cast",en-us,,4.02,101234,genre fiction,675.98,405.588,4.63,628,hachette book group,3942,,,,
564,2006.0,life as we knew it,susan beth pfeffer,eng,,3.89,94282,nonfiction,1097.92,658.752,7.52,629,"amazon digital services,  inc.",3942,,,,
565,2004.0,america (the book): a citizen's guide to democracy inaction,"jon stewart, ben karlin, david javerbaum, rich bloomquist, steve bodow, tim carvell, eric drysdale, j.r. havlan, scott jacobson, tom johnson, rob kutner, chris regan, jason reich, jason ross, stephen colbert, samantha bee, rob corddry, brendan hay, ed helms",eng,,4.02,74511,nonfiction,1166.54,699.924,7.99,630,random house llc,3942,,,,
566,2004.0,90 minutes in heaven,"don piper, cecil murphey",unknown,,3.91,67937,genre fiction,1251.22,750.732,8.57,631,"amazon digital services,  inc.",3942,,,,
567,2012.0,the longest ride,nicholas sparks,eng,,4.14,71276,genre fiction,144.54,0.0,0.99,631,"amazon digital services,  inc.",3942,,,,
569,1979.0,kane and abel,jeffrey archer,en-us,,4.27,74052,fiction,723.55,0.0,4.99,632,"amazon digital services,  inc.",3915,,,,
570,2008.0,change of heart,jodi picoult,en-us,,3.91,86471,genre fiction,990.35,594.21,6.83,634,simon and schuster digital sales inc,3915,,,,
